Dataset	Frequency
MSV000079485	2
MSV000079697	755
MSV000079706	95
MSV000079707	54
MSV000079709	84
MSV000079710	88
MSV000079712	52
MSV000079714	78
MSV000079717	86
MSV000079718	60
MSV000079719	33
MSV000079720	131
MSV000080016	21
MSV000080442	12
MSV000080443	2
MSV000080444	3
MSV000080627	27
MSV000080905	45
MSV000081343	1
MSV000081548	29
MSV000081582	71
MSV000081676	1
MSV000081682	1
MSV000082074	2
MSV000082331	20
MSV000082382	46
MSV000082406	2
MSV000082433	225
MSV000082674	31
MSV000082953	269
MSV000083010	2
MSV000083040	1
MSV000083274	4
MSV000083320	422
MSV000083541	5
MSV000083559	240
MSV000084314	48
MSV000084734	1
MSV000084900	2
MSV000085101	1
MSV000085129	1
MSV000085467	18
MSV000085519	1
MSV000085944	81
MSV000086208	2
MSV000086209	53
MSV000086221	2
MSV000086287	9
MSV000086360	19
MSV000086415	123
MSV000086644	4
MSV000086830	1
MSV000087087	21
MSV000087612	24
MSV000087711	1
MSV000087728	12
MSV000087872	147
MSV000087948	8
MSV000088087	1
MSV000088137	57
MSV000088640	6
MSV000088842	107
MSV000089210	1
MSV000089239	1
