Dataset	Frequency
MSV000078646	11
MSV000079329	17
MSV000079598	92
MSV000079697	33
MSV000079706	3
MSV000079707	4
MSV000079712	8
MSV000079714	8
MSV000079720	3
MSV000079772	2
MSV000079773	18
MSV000079808	4
MSV000079813	19
MSV000079819	15
MSV000079888	2
MSV000080015	32
MSV000080016	1
MSV000080142	477
MSV000080167	33
MSV000080176	50
MSV000080177	20
MSV000080178	7
MSV000080180	1
MSV000080181	6
MSV000080188	144
MSV000080299	264
MSV000080335	14
MSV000080469	22
MSV000080507	84
MSV000080533	6
MSV000080559	24
MSV000080562	15
MSV000080574	7
MSV000080616	3
MSV000080627	58
MSV000080628	61
MSV000080629	25
MSV000080630	3
MSV000080905	336
MSV000080912	2
MSV000080961	9
MSV000081064	2
MSV000081065	21
MSV000081067	192
MSV000081068	3
MSV000081099	1
MSV000081116	3
MSV000081151	97
MSV000081176	15
MSV000081343	196
MSV000081351	8
MSV000081354	37
MSV000081364	29
MSV000081456	1
MSV000081463	2
MSV000081492	22
MSV000081544	4
MSV000081555	2
MSV000081731	57
MSV000081804	11
MSV000081808	43
MSV000081949	11
MSV000081952	107
MSV000082048	2
MSV000082049	6
MSV000082081	1
MSV000082082	1
MSV000082083	206
MSV000082084	17
MSV000082085	85
MSV000082086	27
MSV000082157	3
MSV000082261	12
MSV000082312	19
MSV000082331	24
MSV000082377	1
MSV000082380	18
MSV000082383	1
MSV000082433	77
MSV000082463	2
MSV000082480	2
MSV000082582	99
MSV000082602	39
MSV000082608	2
MSV000082629	3
MSV000082630	338
MSV000082633	33
MSV000082647	92
MSV000082649	1
MSV000082662	2
MSV000082813	2
MSV000082869	64
MSV000082891	1
MSV000082952	11
MSV000082953	235
MSV000082972	2
MSV000082973	78
MSV000083073	4
MSV000083077	192
MSV000083098	38
MSV000083134	22
MSV000083183	3
MSV000083264	9
MSV000083274	12
MSV000083300	129
MSV000083306	230
MSV000083320	304
MSV000083365	37
MSV000083372	31
MSV000083383	77
MSV000083387	20
MSV000083396	6
MSV000083449	1
MSV000083475	67
MSV000083481	2
MSV000083482	30
MSV000083483	8
MSV000083521	9
MSV000083522	43
MSV000083523	19
MSV000083541	28
MSV000083559	465
MSV000083632	5
MSV000083651	2
MSV000083660	4
MSV000083665	22
MSV000083678	1
MSV000083705	5
MSV000083756	51
MSV000083772	29
MSV000083791	2
MSV000083798	6
MSV000083835	49
MSV000083888	7
MSV000083889	116
MSV000084016	101
MSV000084092	6
MSV000084112	14
MSV000084116	56
MSV000084117	1
MSV000084118	6
MSV000084119	26
MSV000084143	20
MSV000084152	11
MSV000084158	35
MSV000084278	5
MSV000084312	2
MSV000084314	106
MSV000084325	1
MSV000084556	11
MSV000084628	6
MSV000084674	10
MSV000084738	18
MSV000084741	41
MSV000084744	8
MSV000084753	58
MSV000084783	71
MSV000084873	1
MSV000084884	4
MSV000084955	3
MSV000085000	4
MSV000085024	3
MSV000085025	8
MSV000085129	20
MSV000085141	1
MSV000085142	2
MSV000085256	87
MSV000085326	1
MSV000085352	1
MSV000085389	44
MSV000085404	6
MSV000085417	2
MSV000085443	6
MSV000085444	6
MSV000085467	9
MSV000085480	101
MSV000085554	2
MSV000085555	19
MSV000085777	8
MSV000085778	3
MSV000085779	34
MSV000085786	2
MSV000085843	26
MSV000085844	50
MSV000085852	20
MSV000085864	15
MSV000085882	3
MSV000085891	18
MSV000085920	1
MSV000085925	2
MSV000085944	1
MSV000085991	1
MSV000086092	1
MSV000086124	1
MSV000086131	1
MSV000086178	1
MSV000086206	6
MSV000086208	5
MSV000086209	32
MSV000086221	5
MSV000086236	5
MSV000086252	1
MSV000086270	43
MSV000086330	1
MSV000086415	156
MSV000086483	2
MSV000086666	5
MSV000086676	25
MSV000086760	1
MSV000086821	14
MSV000086884	1
MSV000086926	52
MSV000086989	55
MSV000086993	1
MSV000087005	34
MSV000087006	62
MSV000087087	117
MSV000087093	3
MSV000087322	2
MSV000087359	45
MSV000087364	36
MSV000087368	21
MSV000087449	37
MSV000087523	1
MSV000087588	1
MSV000087612	164
MSV000087629	2
MSV000087630	1
MSV000087646	6
MSV000087650	2
MSV000087685	1
MSV000087689	1
MSV000087702	3
MSV000087728	24
MSV000087747	6
MSV000087809	3
MSV000087854	107
MSV000087872	1
MSV000087882	1
MSV000087904	4
MSV000087905	1
MSV000087948	7
MSV000087951	5
MSV000087995	1
MSV000088021	512
MSV000088040	2
MSV000088087	100
MSV000088137	343
MSV000088164	49
MSV000088187	5
MSV000088255	2
MSV000088332	1
MSV000088335	6
MSV000088476	2
MSV000088511	2
MSV000088519	1
MSV000088546	299
MSV000088570	34
MSV000088586	3
MSV000088594	62
MSV000088640	111
MSV000088645	246
MSV000088646	600
MSV000088690	2
MSV000088691	1
MSV000088697	2
MSV000088719	3
MSV000088732	90
MSV000088821	73
MSV000088823	29
MSV000088842	19
MSV000088843	8
MSV000089061	5
MSV000089249	2
MSV000089313	55
MSV000089459	4
MSV000089518	3
MSV000089534	1
MSV000089540	4
MSV000089558	88
MSV000089638	1
MSV000089834	22
MSV000090002	2
